NAPVD,BLOCK_1,BLOCK_2,BLOCK_3,BLOCK_4,BLOCK_5,BLOCK_6,BLOCK_7,BLOCK_8,BLOCK_9,BLOCK_10,BLOCK_11,BLOCK_12,BLOCK_13,BLOCK_14,BLOCK_15,BLOCK_16
OURS,,,,,,,,,,,,,,,,
hd_activated_added,0.608109919,0.660325855,0.671024582,0.681999402,0.689190515,0.688249679,0.690148988,0.696994422,0.697159085,0.695758092,0.701666056,0.702887316,0.705237803,0.715817562,0.731979008,0.741162904
hd_activated,0.608109919,0.655846301,0.64973359,0.682193566,0.694797534,0.63607559,0.686568102,0.687362234,0.691522244,0.703535223,0.699253199,0.701122847,0.693736287,0.725831665,0.736350658,0.732822682
hd_normalized,0.554201344,0.643450605,0.617078007,0.674126712,0.67405857,0.642917176,0.673388537,0.685048783,0.67934364,0.68095964,0.686098806,0.698664615,0.708549329,0.721016212,0.724972278,0.743155368
hd_raw,0.582014057,0.642294441,0.622449176,0.661371389,0.686770283,0.611178059,0.673324083,0.689924361,0.677359514,0.701394772,0.701138078,0.701171267,0.70057595,0.726673897,0.728908623,0.730613769
js_activated_added,0.608054925,0.659266212,0.670261876,0.681699098,0.689033068,0.688523689,0.690317018,0.697265065,0.697634473,0.696059358,0.701628057,0.701432451,0.70409639,0.715128289,0.733356913,0.742080172
js_activated,0.608054925,0.656097062,0.650360494,0.682259142,0.694635437,0.636337896,0.687044613,0.687366242,0.691438069,0.703750551,0.698532661,0.702078915,0.694506208,0.726850263,0.737733694,0.736415753
js_normalized,0.554147632,0.643526122,0.61711296,0.674084705,0.674315425,0.642970086,0.673249849,0.685069306,0.679372179,0.681129113,0.68607652,0.69868626,0.708447036,0.721131652,0.725138063,0.743246918
js_raw,0.582012934,0.642272636,0.622462804,0.661388545,0.686713204,0.611236902,0.673224035,0.689983524,0.677420922,0.701430366,0.700991373,0.701117876,0.700385474,0.72667069,0.728947584,0.730988468
kl_activated_added,0.591591412,0.544541257,0.672344286,0.682131036,0.616011951,0.595716629,0.69085205,0.699246305,0.598615938,0.641772236,0.645166012,0.669882046,0.683653883,0.67745844,0.494087386,0.494087386
kl_activated,0.591591412,0.659734385,0.648671862,0.676120618,0.692981759,0.56568843,0.689338663,0.664489713,0.626170835,0.598769698,0.580341138,0.577702852,0.576753999,0.496435147,0.494087386,0.494087386
kl_normalized,0.554008303,0.643689021,0.616845364,0.674242473,0.671636093,0.643001351,0.673515682,0.685149152,0.679090313,0.68101736,0.685854779,0.698476865,0.708520629,0.721083392,0.725018294,0.743229442
kl_raw,0.581945274,0.642284661,0.622279383,0.660569081,0.686707913,0.6109475,0.673363525,0.690028417,0.677140018,0.701492736,0.701081481,0.70115347,0.700516787,0.726763363,0.728922733,0.730674054
wd_activated_added,0.580936616,0.557906328,0.578631183,0.584024477,0.615716456,0.598572969,0.579084445,0.596670613,0.556182263,0.575540275,0.578103205,0.57591289,0.586874403,0.606618498,0.613484776,0.626696728
wd_activated,0.580936616,0.609429784,0.621391938,0.568514947,0.57048801,0.63935537,0.610973634,0.571505646,0.596635981,0.611623305,0.603748531,0.623781386,0.598206607,0.595807538,0.59512083,0.577569134
wd_normalized,0.533231981,0.579234357,0.566105617,0.576415054,0.578429483,0.624152237,0.615754135,0.55610883,0.576097755,0.567061685,0.565775812,0.578022076,0.580160442,0.591876645,0.623632436,0.631027654
wd_raw,0.562656044,0.597535932,0.579900702,0.558111876,0.583673026,0.592594457,0.587972687,0.577335528,0.582503555,0.579752554,0.595893637,0.590875844,0.574555828,0.586876487,0.632653915,0.63096336
BASELINES,,,,,,,,,,,,,,,,
delta_nc_0.5_activated_added,0.531765412,0.507048737,0.501015712,0.497384802,0.49991342,0.497197212,0.494087386,0.494087386,0.496043774,0.498006094,0.493285238,0.493875264,0.492720864,0.493609592,0.49222351,0.490482129
delta_nc_0.5_activated,0.531765412,0.495264393,0.494087386,0.495958637,0.494087386,0.567359585,0.494087386,0.493665067,0.496557802,0.494087386,0.494087386,0.494093959,0.494087386,0.493266479,0.493671641,0.49415697
delta_nc_0.5_normalized,0.507547213,0.531065236,0.52338222,0.518625128,0.536893034,0.538147322,0.56329818,0.550815584,0.528248338,0.577111062,0.561516715,0.551393746,0.539444579,0.552392783,0.558836582,0.53904583
delta_nc_0.5_raw,0.515389921,0.504112551,0.538328499,0.499162899,0.516131303,0.535751941,0.524508081,0.550481128,0.530223646,0.558382839,0.546921086,0.551053839,0.542706242,0.528321611,0.571040198,0.526829228
nd_0.75_activated_added,0.495621455,0.49483967,0.494087386,0.494087386,0.494087386,0.494087386,0.494087386,0.494087386,0.494087386,0.494087386,0.494087386,0.494087386,0.494087386,0.494087386,0.494087386,0.494087386
nd_0.75_activated,0.495621455,0.494087386,0.494087386,0.494087386,0.494087386,0.493599812,0.494087386,0.494087386,0.494087386,0.494087386,0.494087386,0.494087386,0.494087386,0.494087386,0.494087386,0.494087386
nd_0.75_normalized,0.530537739,0.531750661,0.494087386,0.513360581,0.494087386,0.550901683,0.494347446,0.492910538,0.52277632,0.493652882,0.491548186,0.492847207,0.493844961,0.495410777,0.489713972,0.502084655
nd_0.75_raw,0.496609109,0.513723897,0.494175409,0.525008482,0.49243499,0.510927843,0.494087386,0.506921111,0.543251055,0.494746837,0.493770246,0.493615685,0.494087386,0.513058353,0.538533244,0.497279303
bd_activated_added,0.475442536,0.481744119,0.480828455,0.480512278,0.481365893,0.482010754,0.482433393,0.479452314,0.505724383,0.484305445,0.486961208,0.489230566,0.488660902,0.493232328,0.512427441,0.523961344
bd_activated,0.475442536,0.476769936,0.476991196,0.479778111,0.475832467,0.476325813,0.477121066,0.478646799,0.48163365,0.479739471,0.479352587,0.477268253,0.480197864,0.482636214,0.489326606,0.488724715
bd_normalized,0.475205403,0.475608,0.477670048,0.480132929,0.477010757,0.477679828,0.477034005,0.481028552,0.479189367,0.482032399,0.478349862,0.477596455,0.482269692,0.485935876,0.489071836,0.491802955
bd_raw,0.475205403,0.475608,0.477670048,0.480132929,0.477010757,0.477679828,0.477034005,0.481028552,0.479189367,0.482032399,0.478349862,0.477596455,0.482269692,0.485935876,0.489071836,0.491802955
td_1_activated_added,0.508224462,0.556026419,0.573109461,0.565399028,0.537764927,0.537860806,0.52703734,0.535080144,0.532083193,0.521946435,0.527680438,0.526789144,0.529733507,0.528581191,0.552707197,0.566239175
td_1_activated,0.519703691,0.522875887,0.525432563,0.536005589,0.558804997,0.546378037,0.53318821,0.562317901,0.553240466,0.539771499,0.53675659,0.563732523,0.540079339,0.554635687,0.582043398,0.475801362
td_1_normalized,0.519703691,0.521851197,0.518381742,0.535741038,0.551579252,0.546165755,0.549134488,0.557906168,0.557573476,0.543648842,0.533937128,0.567957147,0.547518809,0.541472637,0.590388109,0.481408702
td_1_raw,0.537152133,0.535838842,0.533715226,0.5771008,0.549340036,0.53419302,0.540771018,0.537320002,0.565984726,0.536571565,0.52984558,0.516166897,0.549901844,0.553510307,0.535161754,0.564443441
