NAPVD,BLOCK_1,BLOCK_2,BLOCK_3,BLOCK_4,BLOCK_5
OURS,,,,,
hd_activated,0.62713154,0.6531409,0.687160551,0.71001095,0.736520041
hd_raw,0.599087411,0.62241305,0.652606459,0.689334323,0.72615318
js_activated,0.627892734,0.653716701,0.688417907,0.710022142,0.736569511
js_raw,0.599077031,0.622378015,0.652690964,0.689341784,0.726196974
kl_activated,0.625987398,0.611395939,0.686285981,0.653397821,0.530338333
kl_raw,0.599023019,0.622223116,0.653033201,0.689274797,0.726165183
wd_activated,0.598376337,0.633229197,0.580908141,0.585627443,0.607802451
wd_raw,0.585524772,0.611405022,0.583036823,0.588381883,0.593856863
BASELINES,,,,,
delta_nc_0.5_activated,0.492429832,0.490645496,0.490645496,0.490645496,0.490645496
delta_nc_0.5_raw,0.517300889,0.529886775,0.519614314,0.527851033,0.589097336
nd_0.75_activated,0.490645496,0.490645496,0.490645496,0.490645496,0.490645496
nd_0.75_raw,0.492268283,0.490645496,0.490645496,0.488901872,0.490055583
bd_activated,0.475520731,0.475520731,0.477490784,0.490133114,0.476357671
bd_raw,0.475520731,0.475520731,0.475478722,0.475540357,0.476556525
td_1_activated,0.538282447,0.53670021,0.549751116,0.54787303,0.575466574
td_1_raw,0.531140724,0.541939517,0.54126737,0.546239213,0.571587456
sd_2_activated,0.516158207,0.505249445,0.514178747,0.49822937,0.478917474
sd_2_raw,0.583373545,0.594382059,0.625156946,0.616164062,0.596710405
